1 U+4FF4	俴	32(1534|1543)\1
2 U+5017	倗	32(3511|3544)\1
3 U+50B0	傰	32252(3511|3544)\1
4 U+5257	剗^	(1534|1543)\122
5 U+527B	剻	252(3511|3544)\122
6 U+5298	劘	413(1234|1235)\1(2|3)111211122
7 U+535B	卛	(1|4)111251(554234|554444)\212
8 U+561B	嘛	251413(1234|1235)\1
9 U+5623	嘣	251252(3511|3544)\1
10 U+5629	嘩^	251(122|1212|2112)1\1112
11 U+5692	嚒	251413(1234|1235)\1(354|554)
12 U+56A4	嚤	251413(1234|1235)\13112
13 U+56B0	嚰	251413(1234|1235)\113251
14 U+571D	圝	25(1|4)111251(554234|554444)\21
15 U+571E	圞	25(1|4)111251(554234|554444)\212341
16 U+5803	堃	(4135|4153)\1121
17 U+580B	堋	121(3511|3544)\1
18 U+5874	塴	121252(3511|3544)\1
19 U+587A	塺	413(1234|1235)\1121
20 U+58B7	墷	121(122|1212|2112)1\1112
21 U+58EA	壪^	121(1|4)111251(554234|554444)\2515
22 U+595F	奟	134(3511|3544)\1
23 U+5971	奱	(1|4)111251(554234|554444)\2134
24 U+5ACB	嫋	531(51533|51541)\1
25 U+5AF2	嫲	531413(1234|1235)\1
26 U+5B05	嬅	531(122|1212|2112)1\1112
27 U+5B24	嬤^	531413(1234|1235)\1554
28 U+5B37	嬷	531413(1234|1235)\1354
29 U+5B4A	孊	531413(1234|1235)\1(2|3)1112111
30 U+5B4C	孌^	(1|4)111251(554234|554444)\2531
31 U+5B7F	孿^	(1|4)111251(554234|554444)\2521
32 U+5D29	崩	252(3511|3544)\1
33 U+5D76	嵶	252(51533|51541)\1
34 U+5D98	嶘	2521234(1534|1543)\1
35 U+5DD2	巒^	(1|4)111251(554234|554444)\2252
36 U+5E34	帴	252(1534|1543)\1
37 U+5F31	弱	(51533|51541)\1
38 U+5F38	弸	515(3511|3544)\1
39 U+5F4E	彎^	(1|4)111251(554234|554444)\2515
40 U+6135	愵	(244|424|442)(51533|51541)\2
41 U+614B	態^	54(2511|3511|3541)(15|35|53)\24544
42 U+61E1	懡	(244|424|442)413(1234|1235)\2(354|554)
43 U+6200	戀^	(1|4)111251(554234|554444)\24544
44 U+6202	戂	(244|424|442)413(1234|1235)\2(2|3)1112111
45 U+6214	戔^	(1534|1543)\1
46 U+63A4	掤	121(3511|3544)\1
47 U+6426	搦	121(51533|51541)\1
48 U+6469	摩	413(1234|1235)\13112
49 U+64B6	撶	121(122|1212|2112)1\1112
50 U+64F5	擵	121413(1234|1235)\13112
51 U+64FA	擺^	1212522154(2511|3511|3541)(15|35|53)\2
52 U+6520	攠	121413(1234|1235)\1(2|3)1112111
53 U+6523	攣^	(1|4)111251(554234|554444)\23112
54 U+66C4	曄^	2511(122|1212|2112)1\1112
55 U+66C5	曅	2511(122|1212|2112)1\1112
56 U+66EB	曫	(1|4)111251(554234|554444)\22511
57 U+670B	朋	(3511|3544)\1
58 U+6724	朤	(3511|3544)\1\1\1
59 U+68DA	棚	1234(3511|3544)\1
60 U+68E7	棧^	1234(1534|1543)\1
61 U+6992	榒	1234(51533|51541)\1
62 U+6A3A	樺^	1234(122|1212|2112)1\1112
63 U+6A7B	橻	1234(5121|5211)\1\1
64 U+6ABE	檾	4334433445(1234|1235)\1
65 U+6B12	欒^	(1|4)111251(554234|554444)\21234
66 U+6B98	殘^	1354(1534|1543)\1
67 U+6DDC	淜	441(3511|3544)\1
68 U+6DFA	淺^	441(1534|1543)\1
69 U+6EBA	溺	441(51533|51541)\1
70 U+6F30	漰	441252(3511|3544)\1
71 U+6F78	潸	441(1234|1235)\1(2511|3511|3541)
72 U+6F95	澕	441(122|1212|2112)1\1112
73 U+6FFA	濺^	4412511134(1534|1543)\1
74 U+7053	灓	(1|4)111251(554234|554444)\22534
75 U+7056	灖	441413(1234|1235)\1(2|3)1112111
76 U+7063	灣^	441(1|4)111251(554234|554444)\2515
77 U+7064	灤^	441(1|4)111251(554234|554444)\21234
78 U+7129	焩	4334(3511|3544)\1
79 U+718A	熊	54(2511|3511|3541)(15|35|53)\24444
80 U+718B	熋	54(2511|3511|3541)(15|35|53)\24334
81 U+71C1	燁^	4334(122|1212|2112)1\1112
82 U+7217	爗	43342511(122|1212|2112)1\1112
83 U+7222	爢	413(1234|1235)\1(2|3)11121114444
84 U+724B	牋^	3215(1534|1543)\1
85 U+7298	犘	413(1234|1235)\13112
86 U+72A4	犤	(3112|3121)2522154(2511|3511|3541)(15|35|53)\3
87 U+7416	琖	1121(1534|1543)\1
